sr_type,total_count,years_present,unique_wards,unique_community_areas,missing_lat_pct,missing_lon_pct,unique_departments,statuses,cv,geo_completeness,suitability_score
Low Water Pressure Complaint,12300,6,50,77,0.04065040650406504,0.04065040650406504,1,"{'Completed': 9742, 'Canceled': 2516, 'Open': 42}",0.08394780395823984,99.95934959349593,3.5167749956550556
Snow - Object/Dibs Removal Request,15103,6,50,76,0.05959080977289281,0.05959080977289281,1,"{'Completed': 15078, 'Canceled': 20, 'Open': 5}",0.9612151562507026,99.9404091902271,3.490603564675855
Coyote Interaction Complaint,9778,6,50,77,0.22499488647985275,0.22499488647985275,1,"{'Completed': 8938, 'Canceled': 840}",0.35987595524792243,99.77500511352015,3.4200726646391706
Alley Sewer Inspection Request,8663,6,50,77,0.1616068336603948,0.1616068336603948,1,"{'Completed': 7370, 'Canceled': 1223, 'Open': 70}",0.09114100865322708,99.8383931663396,3.4107230254884344
Consumer Fraud Complaint,8002,6,50,77,0.28742814296425895,0.28742814296425895,1,"{'Completed': 7943, 'Open': 34, 'Canceled': 25}",0.11014199295677418,99.71257185703574,3.3848261835999898
E-Scooter Parking Complaint,13520,4,50,77,0.07396449704142012,0.07396449704142012,1,"{'Completed': 13479, 'Canceled': 40, 'Open': 1}",0.9014000382038334,99.92603550295858,3.3800155095083486
Water Lead Test Visit Request,9070,6,50,77,0.02205071664829107,0.02205071664829107,1,"{'Completed': 5134, 'Canceled': 2452, 'Open': 1484}",0.6289899573216048,99.9779492833517,3.3709192653773505
Vehicle Parked in Bike Lane Complaint,9257,5,50,71,0.0,0.0,2,{'Completed': 9257},0.5365154676055084,100.0,3.3446547830501476
Divvy Bike Parking Complaint,7863,6,50,77,0.06358896095637798,0.06358896095637798,1,"{'Completed': 7811, 'Canceled': 51, 'Open': 1}",0.5667381718714194,99.93641103904362,3.3342459979195245
Wire Basket Request,6796,6,50,76,0.13243084167157151,0.13243084167157151,1,"{'Completed': 6772, 'Canceled': 15, 'Open': 9}",0.15921951458371209,99.86756915832842,3.331150387483113
Street Light On During Day Complaint,6138,6,50,77,0.08145975887911372,0.08145975887911372,1,"{'Completed': 6053, 'Canceled': 67, 'Open': 18}",0.531001112663624,99.91854024112088,3.2635028415235676
Street Light Pole Door Missing Complaint,5063,6,50,76,0.03950227138060439,0.03950227138060439,1,"{'Completed': 4833, 'Open': 227, 'Canceled': 3}",0.27129045868433493,99.9604977286194,3.2317852898716994
Bee/Wasp Removal,4970,6,50,77,0.02012072434607646,0.02012072434607646,1,"{'Completed': 4969, 'Canceled': 1}",0.22097854253420424,99.97987927565393,3.231284856488463
Water Quality Concern,4589,6,50,77,0.08716495968620615,0.08716495968620615,1,"{'Canceled': 2201, 'Completed': 1978, 'Open': 410}",0.11943022980467019,99.9128350403138,3.2174168204963807
Consumer Retail Business Complaint,4550,6,50,75,0.021978021978021976,0.021978021978021976,1,"{'Completed': 4513, 'Open': 37}",0.2844388777649014,99.97802197802197,3.1984538255955353
Sign Repair Request - Do Not Enter Sign,4141,6,50,77,0.4105288577638252,0.4105288577638252,1,"{'Completed': 4131, 'Open': 6, 'Canceled': 4}",0.12721999399585618,99.58947114223618,3.1853424199004277
Dead Bird,4414,6,50,76,0.1359311282283643,0.1359311282283643,1,"{'Completed': 4411, 'Canceled': 3}",0.4068295512015124,99.86406887177164,3.1769420820989245
Bicycle Request/Complaint,4242,6,50,76,0.0,0.0,1,"{'Completed': 3353, 'Open': 889}",0.3062696980451022,100.0,3.1752807837561874
Porch Inspection Request,3160,6,50,75,0.03164556962025317,0.03164556962025317,1,{'Completed': 3160},0.14938907797804882,99.96835443037975,3.10260673751245
Viaduct Light Out Complaint,2428,6,49,69,0.16474464579901155,0.16474464579901155,1,"{'Completed': 2407, 'Open': 18, 'Canceled': 3}",0.3367640079367939,99.83525535420098,3.0026469609382738
Shared Housing/Vacation Rental Complaint,2358,6,50,74,0.04240882103477523,0.04240882103477523,1,"{'Completed': 2350, 'Canceled': 7, 'Open': 1}",0.4238241756524483,99.95759117896523,2.9873518930255054
Cable TV Complaint,2258,6,50,77,0.04428697962798937,0.04428697962798937,1,"{'Completed': 2191, 'Canceled': 67}",0.31784009670102426,99.95571302037202,2.984952814800857
Sidewalk Café/Outdoor Dining Complaint,1947,6,50,68,0.0,0.0,1,"{'Completed': 1936, 'Open': 11}",0.15253147772020306,100.0,2.957114397488724
Recycling Inspection Request,2048,6,50,73,0.0,0.0,1,"{'Completed': 2019, 'Canceled': 28, 'Open': 1}",0.32233841507491445,100.0,2.9552983029641786
Lead Inspection Request,1721,6,50,77,0.058105752469494475,0.058105752469494475,1,"{'Completed': 1702, 'Canceled': 19}",0.1967536626955974,99.9418942475305,2.9156099805980387
Clean and Green Program Request,1856,6,50,77,0.05387931034482758,0.05387931034482758,1,"{'Completed': 1855, 'Canceled': 1}",0.509750443856492,99.94612068965517,2.9069594050546455
Home Buyer Program Info Request,1899,6,50,77,0.105318588730911,0.105318588730911,2,{'Completed': 1899},0.6446573958393149,99.89468141126909,2.900259032079332
Commercial Fire Safety Inspection Request,1637,6,50,76,0.061087354917532075,0.061087354917532075,1,{'Completed': 1637},0.20085277054181475,99.93891264508247,2.9001924712373466
Animal In Trap Complaint,1643,6,50,77,0.06086427267194157,0.06086427267194157,1,"{'Completed': 1182, 'Canceled': 460, 'Open': 1}",0.23825575890553774,99.93913572732806,2.8975494003852758
Public Vehicle Complaint,1684,6,50,75,0.5344418052256532,0.5344418052256532,1,"{'Completed': 1665, 'Canceled': 17, 'Open': 2}",0.4099503739190176,99.46555819477435,2.8870595527361984
Protected Bike Lane - Debris Removal,1563,6,50,72,0.0,0.0,1,"{'Completed': 1272, 'Open': 290, 'Canceled': 1}",0.4022237690871271,100.0,2.8662781994228643
Wage Complaint,1372,6,50,74,1.1661807580174928,1.1661807580174928,1,"{'Completed': 1230, 'Open': 133, 'Canceled': 9}",0.3305690501963249,98.83381924198251,2.8326198455737326
Liquor Establishment Complaint,1752,4,50,72,0.05707762557077625,0.05707762557077625,1,"{'Completed': 1749, 'Canceled': 3}",0.3644444012182637,99.94292237442923,2.8208617755828542
Paid Sick Leave Violation,1444,6,50,76,0.9695290858725761,0.9695290858725761,1,"{'Completed': 1325, 'Open': 111, 'Canceled': 8}",0.7100993355088853,99.03047091412742,2.8102951529842626
Pushcart Food Vendor Complaint,1285,6,50,69,0.0,0.0,1,"{'Completed': 873, 'Canceled': 411, 'Open': 1}",0.556848573938431,100.0,2.792102714045426
Ridesharing Complaint,1136,6,50,74,0.35211267605633806,0.35211267605633806,1,"{'Completed': 980, 'Canceled': 154, 'Open': 2}",0.3098811611903864,99.64788732394366,2.779328262992038
Tobacco - General Complaint,1089,6,49,68,0.18365472910927455,0.18365472910927455,1,"{'Completed': 1088, 'Canceled': 1}",0.17984571618677095,99.81634527089072,2.7779198388546154
No Air Conditioning,1424,4,50,72,0.0,0.0,1,{'Completed': 1424},0.4169748050525919,100.0,2.753547313972233
