month,sr_type,complaint_count
3,Rodent Baiting/Rat Complaint,20479
3,Sanitation Code Violation,7283
3,Sewer Cave-In Inspection Request,2877
3,Sewer Cleaning Inspection Request,4667
3,Shared Cost Sidewalk Program Request,198
3,Shared Housing/Vacation Rental Complaint,155
3,Sidewalk Café/Outdoor Dining Complaint,121
3,Sidewalk Inspection Request,4159
3,Sign Repair Request - All Other Signs,11373
3,Sign Repair Request - Do Not Enter Sign,387
3,Sign Repair Request - One Way Sign,1142
3,Sign Repair Request - Stop Sign,2805
3,Smokeless Tobacco at Sports Event Complaint,2
3,Snow - Object/Dibs Removal Request,897
3,Snow Removal - Protected Bike Lane or Bridge Sidewalk,12
3,Snow – Uncleared Sidewalk Complaint,80
3,Stray Animal Complaint,5691
3,Street Cleaning Request,3017
3,Street Light On During Day Complaint,465
3,Street Light Out Complaint,24888
3,Street Light Pole Damage Complaint,2654
3,Street Light Pole Door Missing Complaint,439
3,Tobacco - General Complaint,72
3,Tobacco - Sale to Minors Complaint,103
3,Traffic Signal Out Complaint,12939
3,Tree Debris Clean-Up Request,5607
3,Tree Emergency,3726
3,Tree Planting Request,4544
3,Tree Removal Inspection,7285
3,Tree Trim Request (NO LONGER BEING ACCEPTED),13542
3,Vacant/Abandoned Building Complaint,2996
3,Vehicle Parked in Bike Lane Complaint,783
3,Viaduct Light Out Complaint,235
3,Vicious Animal Complaint,3163
3,Wage Complaint,89
3,Water Lead Test Kit Request,4939
3,Water Lead Test Visit Request,661
3,Water On Street Complaint,4993
3,Water Quality Concern,332
3,Water in Basement Complaint,2385
3,Weed Removal Request,1
3,Wire Basket Request,517
3,Yard Waste Pick-Up Request,2487
4,311 INFORMATION ONLY CALL,348004
4,Abandoned Vehicle Complaint,21081
4,Aircraft Noise Complaint,162201
4,Alley Light Out Complaint,4476
4,Alley Pothole Complaint,7454
4,Alley Sewer Inspection Request,865
4,Animal In Trap Complaint,140
4,Bee/Wasp Removal,165
4,Bicycle Request/Complaint,404
4,Blue Recycling Cart,9996
4,Building Violation,9340
4,Buildings - Plumbing Violation,3081
4,Bungalow/Vintage Home Information Request,57
4,Business Complaints,4052
4,Cab Feedback,1411
4,Cable TV Complaint,222
4,Check for Leak,4049
4,City Vehicle Sticker Violation,1827
4,Clean Vacant Lot Request,3139
4,Clean and Green Program Request,833
4,Commercial Fire Safety Inspection Request,157
4,Consumer Fraud Complaint,727
4,Consumer Retail Business Complaint,554
4,Coyote Interaction Complaint,586
4,Dead Animal Pick-Up Request,6121
4,Dead Bird,362
4,Divvy Bike Parking Complaint,528
4,E-Scooter Parking Complaint,815
4,Finance Parking Code Enforcement Review,2677
4,Fly Dumping Complaint,5973
4,Garbage Cart Maintenance,24574
4,Graffiti Removal Request,48245
4,Home Buyer Program Info Request,160
4,Ice and Snow Removal Request,10
4,Inaccurate Fuel Pump Complaint,44
4,Inaccurate Retail Scales Complaint,3
4,Inspect Public Way Request,4149
4,Lead Inspection Request,109
4,Licensed Pharmaceutical Representative Complaint,6
4,Liquor Establishment Complaint,154
4,Low Water Pressure Complaint,838
4,Missed Garbage Pick-Up Complaint,2502
4,No Air Conditioning,58
4,No Building Permit and Construction Violation,2636
4,No Solicitation Complaint,25
4,No Water Complaint,1246
4,Nuisance Animal Complaint,2991
4,Open Fire Hydrant Complaint,629
4,Outdated Merchandise Complaint,38
4,Paid Sick Leave Violation,301
4,Pavement Cave-In Inspection Request,57
4,Pet Wellness Check Request,1154
4,Porch Inspection Request,235
4,Pothole in Street Complaint,38228
4,Protected Bike Lane - Debris Removal,134
4,Public Vehicle Complaint,122
4,Pushcart Food Vendor Complaint,111
4,Recycling Inspection Request,190
4,Recycling Pick Up,2454
4,Renters and Foreclosure Complaint,12
4,Report an Injured Animal,4282
4,Restaurant Complaint,1302
4,Ridesharing Complaint,97
4,Rodent Baiting/Rat Complaint,22370
4,Sanitation Code Violation,6569
4,Sewer Cave-In Inspection Request,2985
4,Sewer Cleaning Inspection Request,5670
4,Shared Cost Sidewalk Program Request,82
4,Shared Housing/Vacation Rental Complaint,169
4,Sidewalk Café/Outdoor Dining Complaint,157
4,Sidewalk Inspection Request,4955
4,Sign Repair Request - All Other Signs,10291
4,Sign Repair Request - Do Not Enter Sign,357
4,Sign Repair Request - One Way Sign,1200
4,Sign Repair Request - Stop Sign,2718
4,Smokeless Tobacco at Sports Event Complaint,3
4,Snow - Object/Dibs Removal Request,210
4,Snow – Uncleared Sidewalk Complaint,4
4,Stray Animal Complaint,5803
4,Street Cleaning Request,3289
4,Street Light On During Day Complaint,506
4,Street Light Out Complaint,19121
4,Street Light Pole Damage Complaint,2451
4,Street Light Pole Door Missing Complaint,461
4,Tobacco - General Complaint,118
4,Tobacco - Sale to Minors Complaint,76
4,Traffic Signal Out Complaint,11210
4,Tree Debris Clean-Up Request,8759
4,Tree Emergency,4904
4,Tree Planting Request,6714
4,Tree Removal Inspection,9318
4,Tree Trim Request (NO LONGER BEING ACCEPTED),19331
4,Vacant/Abandoned Building Complaint,2979
4,Vehicle Parked in Bike Lane Complaint,399
4,Viaduct Light Out Complaint,225
4,Vicious Animal Complaint,3303
4,Wage Complaint,99
4,Water Lead Test Kit Request,8057
4,Water Lead Test Visit Request,565
4,Water On Street Complaint,6183
4,Water Quality Concern,355
4,Water in Basement Complaint,2517
4,Weed Removal Request,418
4,Wire Basket Request,468
4,Yard Waste Pick-Up Request,5375
5,311 INFORMATION ONLY CALL,356313
5,Abandoned Vehicle Complaint,22327
5,Aircraft Noise Complaint,178599
5,Alley Light Out Complaint,4775
5,Alley Pothole Complaint,6360
5,Alley Sewer Inspection Request,1166
5,Animal In Trap Complaint,193
5,Bee/Wasp Removal,137
5,Bicycle Request/Complaint,441
5,Blue Recycling Cart,10767
5,Building Violation,10689
5,Buildings - Plumbing Violation,3502
5,Bungalow/Vintage Home Information Request,74
5,Business Complaints,2881
5,Cab Feedback,1555
5,Cable TV Complaint,211
5,Check for Leak,3749
5,City Vehicle Sticker Violation,1520
5,Clean Vacant Lot Request,4501
5,Clean and Green Program Request,162
5,Commercial Fire Safety Inspection Request,116
5,Consumer Fraud Complaint,672
5,Consumer Retail Business Complaint,429
5,Coyote Interaction Complaint,756
5,Dead Animal Pick-Up Request,8618
5,Dead Bird,508
5,Divvy Bike Parking Complaint,568
5,E-Scooter Parking Complaint,1157
5,Finance Parking Code Enforcement Review,2961
5,Fly Dumping Complaint,6614
5,Garbage Cart Maintenance,28537
5,Graffiti Removal Request,49133
5,Home Buyer Program Info Request,151
5,Inaccurate Fuel Pump Complaint,32
5,Inaccurate Retail Scales Complaint,3
5,Inspect Public Way Request,4484
5,Lead Inspection Request,129
5,Licensed Pharmaceutical Representative Complaint,6
5,Liquor Establishment Complaint,194
5,Low Water Pressure Complaint,1070
5,Missed Garbage Pick-Up Complaint,3411
5,No Air Conditioning,101
5,No Building Permit and Construction Violation,2783
5,No Solicitation Complaint,27
5,No Water Complaint,1287
5,Nuisance Animal Complaint,3650
5,Open Fire Hydrant Complaint,2792
5,Outdated Merchandise Complaint,23
5,Paid Sick Leave Violation,138
5,Pavement Cave-In Inspection Request,18
5,Pet Wellness Check Request,1260
5,Porch Inspection Request,323
5,Pothole in Street Complaint,28868
5,Protected Bike Lane - Debris Removal,128
5,Public Vehicle Complaint,129
5,Pushcart Food Vendor Complaint,139
5,Recycling Inspection Request,163
5,Recycling Pick Up,2925
5,Renters and Foreclosure Complaint,21
5,Report an Injured Animal,5845
5,Restaurant Complaint,1360
5,Ridesharing Complaint,110
5,Rodent Baiting/Rat Complaint,28694
5,Sanitation Code Violation,9364
5,Sewer Cave-In Inspection Request,3120
5,Sewer Cleaning Inspection Request,7201
5,Shared Cost Sidewalk Program Request,18
5,Shared Housing/Vacation Rental Complaint,217
5,Sidewalk Café/Outdoor Dining Complaint,262
5,Sidewalk Inspection Request,5244
5,Sign Repair Request - All Other Signs,10338
5,Sign Repair Request - Do Not Enter Sign,355
5,Sign Repair Request - One Way Sign,1241
5,Sign Repair Request - Stop Sign,2535
5,Smokeless Tobacco at Sports Event Complaint,1
5,Snow - Object/Dibs Removal Request,5
5,Stray Animal Complaint,6176
5,Street Cleaning Request,2879
5,Street Light On During Day Complaint,633
