year,sr_type,complaint_count
2023,Sign Repair Request - Stop Sign,4928
2023,Smokeless Tobacco at Sports Event Complaint,3
2023,Snow - Object/Dibs Removal Request,594
2023,Snow Removal - Protected Bike Lane or Bridge Sidewalk,28
2023,Snow – Uncleared Sidewalk Complaint,1250
2023,Stray Animal Complaint,12762
2023,Street Cleaning Request,5945
2023,Street Light On During Day Complaint,757
2023,Street Light Out Complaint,37690
2023,Street Light Pole Damage Complaint,4308
2023,Street Light Pole Door Missing Complaint,638
2023,Tobacco - General Complaint,150
2023,Tobacco - Sale to Minors Complaint,139
2023,Traffic Signal Out Complaint,23595
2023,Tree Debris Clean-Up Request,22923
2023,Tree Emergency,13291
2023,Tree Planting Request,22233
2023,Tree Removal Inspection,18491
2023,Tree Trim Request (NO LONGER BEING ACCEPTED),40962
2023,Vacant/Abandoned Building Complaint,5480
2023,Vehicle Parked in Bike Lane Complaint,2433
2023,Viaduct Light Out Complaint,325
2023,Vicious Animal Complaint,6871
2023,Wage Complaint,292
2023,Water Lead Test Kit Request,9037
2023,Water Lead Test Visit Request,1773
2023,Water On Street Complaint,10144
2023,Water Quality Concern,737
2023,Water in Basement Complaint,17450
2023,Weed Removal Request,7585
2023,Wire Basket Request,1261
2023,Yard Waste Pick-Up Request,13339
2024,311 INFORMATION ONLY CALL,685581
2024,Abandoned Vehicle Complaint,49988
2024,Aircraft Noise Complaint,343797
2024,Alley Light Out Complaint,6735
2024,Alley Pothole Complaint,9674
2024,Alley Sewer Inspection Request,1328
2024,Animal In Trap Complaint,229
2024,Bee/Wasp Removal,900
2024,Bicycle Request/Complaint,909
2024,Blue Recycling Cart,20201
2024,Building Violation,20600
2024,Buildings - Plumbing Violation,8266
2024,Bungalow/Vintage Home Information Request,98
2024,Business Complaints,3135
2024,Cab Feedback,3931
2024,Cable TV Complaint,297
2024,Check for Leak,9694
2024,City Vehicle Sticker Violation,5041
2024,Clean Vacant Lot Request,4701
2024,Clean and Green Program Request,222
2024,Commercial Fire Safety Inspection Request,290
2024,Consumer Fraud Complaint,1398
2024,Consumer Retail Business Complaint,671
2024,Coyote Interaction Complaint,1358
2024,Dead Animal Pick-Up Request,16564
2024,Dead Bird,786
2024,Divvy Bike Parking Complaint,1683
2024,E-Scooter Parking Complaint,3612
2024,Finance Parking Code Enforcement Review,11137
2024,Fly Dumping Complaint,12307
2024,Garbage Cart Maintenance,49121
2024,Graffiti Removal Request,99366
2024,Home Buyer Program Info Request,104
2024,Ice and Snow Removal Request,1681
2024,Inaccurate Fuel Pump Complaint,78
2024,Inaccurate Retail Scales Complaint,10
2024,Inspect Public Way Request,8396
2024,Lead Inspection Request,330
2024,Licensed Pharmaceutical Representative Complaint,14
2024,Low Water Pressure Complaint,2222
2024,Missed Garbage Pick-Up Complaint,7722
2024,No Air Conditioning,352
2024,No Building Permit and Construction Violation,5471
2024,No Solicitation Complaint,62
2024,No Water Complaint,3902
2024,Nuisance Animal Complaint,6283
2024,Open Fire Hydrant Complaint,7062
2024,Outdated Merchandise Complaint,42
2024,Paid Sick Leave Violation,264
2024,Pavement Cave-In Inspection Request,27
2024,Pet Wellness Check Request,3544
2024,Petcoke Dust Complaint,1
2024,Porch Inspection Request,491
2024,Pothole in Street Complaint,51243
2024,Protected Bike Lane - Debris Removal,379
2024,Public Vehicle Complaint,400
2024,Pushcart Food Vendor Complaint,416
2024,Recycling Inspection Request,364
2024,Recycling Pick Up,4035
2024,Renters and Foreclosure Complaint,42
2024,Report an Injured Animal,9823
2024,Restaurant Complaint,2471
2024,Ridesharing Complaint,277
2024,Rodent Baiting/Rat Complaint,45732
